Number of VNRs,Algorithm,Embedding Ratio (%)
5,first-fit-algorithm,60
10,first-fit-algorithm,60
15,first-fit-algorithm,53.3333333333333
5,worst-fit-algorithm,80
10,worst-fit-algorithm,70
15,worst-fit-algorithm,60
5,first-fit-algorithm,60
10,first-fit-algorithm,50
15,first-fit-algorithm,33.3333333333333
5,worst-fit-algorithm,100
10,worst-fit-algorithm,100
15,worst-fit-algorithm,93.3333333333333
5,first-fit-algorithm,80
10,first-fit-algorithm,50
15,first-fit-algorithm,40
5,worst-fit-algorithm,100
10,worst-fit-algorithm,90
15,worst-fit-algorithm,86.6666666666667
5,first-fit-algorithm,80
10,first-fit-algorithm,70
15,first-fit-algorithm,46.6666666666667
5,worst-fit-algorithm,100
10,worst-fit-algorithm,90
15,worst-fit-algorithm,73.3333333333333
5,first-fit-algorithm,100
10,first-fit-algorithm,70
15,first-fit-algorithm,53.3333333333333
5,worst-fit-algorithm,100
10,worst-fit-algorithm,90
15,worst-fit-algorithm,60
