Number of VNRs,Algorithm,consumed
5,first-fit-algorithm,175
10,first-fit-algorithm,334
15,first-fit-algorithm,414
5,worst-fit-algorithm,389
10,worst-fit-algorithm,550
15,worst-fit-algorithm,634
5,first-fit-algorithm,192
10,first-fit-algorithm,304
15,first-fit-algorithm,304
5,worst-fit-algorithm,436
10,worst-fit-algorithm,841
15,worst-fit-algorithm,999
5,first-fit-algorithm,248
10,first-fit-algorithm,271
15,first-fit-algorithm,284
5,worst-fit-algorithm,413
10,worst-fit-algorithm,796
15,worst-fit-algorithm,1135
5,first-fit-algorithm,171
10,first-fit-algorithm,350
15,first-fit-algorithm,350
5,worst-fit-algorithm,367
10,worst-fit-algorithm,594
15,worst-fit-algorithm,689
5,first-fit-algorithm,272
10,first-fit-algorithm,321
15,first-fit-algorithm,350
5,worst-fit-algorithm,330
10,worst-fit-algorithm,471
15,worst-fit-algorithm,471
